text,nic_code,nic_label,division
providingmixed masala production business,10795,Grinding and processing of spices,Manufacturing
we are into matchstick manufacturing business,20291,Manufacture of matches,Manufacturing
i am doing meal delivery catering as micro enterprise,56291,Activities of food service contractors,Hospitality
servicehousekeeping and cleaning for export,81210,General cleaning of buildings,Services
repairingcardboard box making as msme,17023,Manufacture of card board boxes,Manufacturing
we specialize in detergent manufacturing unit,20233,Manufacture of detergent,Manufacturing
i am a ayurvedic clinic in my village,86901,Activities of Ayurveda practitioners,Healthcare
i do architect firm as micro enterprise,71100,Architectural and engineering activities,Professional
our unit is involved in cotton cultivation in vidarbha near me,1161,Growing of cotton,Agriculture
repairingnursing home business,86100,Hospital activities,Healthcare
the company is engaged in private tuitions near me,85491,Academic tutoring services,Education
servicewe design clothes as micro enterprise,74101,Fashion design,Professional
sellingiron ore mining as a home business,7100,Mining of iron ores,Mining
we specialize in wooden toy making for export,32401,Manufacture of dolls and toy animals,Manufacturing
business activity: ayurvedic product manufacturing at home,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
papad making unit since many years,10796,Manufacture of papads and appalam,Manufacturing
i own a mobile phone manufacturing,26305,Manufacture of pagers cellular phones,Manufacturing
we specialize in rice mill for local market,10612,Rice milling,Manufacturing
servicecyber cafe,63992,Activities of cyber cafe,IT Services
i am a we run a school on small scale,85211,General school education first stage,Education
repairinglogo and design services for local market,74103,Services of graphic designers,Professional
we deal in banana farming as msme,1222,Growing of bananas,Agriculture
i run a web design at home,62012,Web page designing,IT Services
i do fishing in the sea for export,3111,Fishing in ocean and coastal waters,Agriculture
i run a we do fish farming in our pond,3221,Fish farming in freshwater,Agriculture
i make pickles achar near me,10306,Manufacture of pickles and chutney,Manufacturing
i run a nai ki dukan for local market,96020,Hairdressing and other beauty treatment,Services
Growingwe do hand embroidery for domestic use,13991,Embroidery work and making of laces,Manufacturing
we have a recruitment agency since many years,78100,Activities of employment placement agencies,Services
my small business is artificial jewellery manufacturing,32120,Manufacture of imitation jewellery,Manufacturing
digital marketing agency as msme,73100,Advertising,Professional
business activity: layer poultry farm for export,1461,Raising and breeding of poultry,Agriculture
we are manufacturers of solar rooftop installation unit,35105,Electric power generation using solar energy,Energy
we specialize in surgical cotton bandage making since many years,21006,Manufacture of medical wadding gauze bandages,Manufacturing
i am working in liquid detergent making for local market,20233,Manufacture of detergent,Manufacturing
sand quarrying as micro enterprise,8106,Operation of sand or gravel pits,Mining
cleaning services for domestic use,81210,General cleaning of buildings,Services
we provide washing powder manufacturing,20233,Manufacture of detergent,Manufacturing
i sell we do tax filing and GST business,69202,Tax consultancy,Finance
we are into cotton farming near me,1161,Growing of cotton,Agriculture
makingwe grow red chillies,1282,Growing of chili,Agriculture
my work involves we grow tomatoes and chillies,1132,Growing of fruit-bearing vegetables,Agriculture
sellingsolar rooftop installation,35105,Electric power generation using solar energy,Energy
manufacturingsone chandi ka gehna banane ka kaam since many years,32111,Manufacture of jewellery of gold silver,Manufacturing
we provide wheat cultivation in punjab on small scale,1111,Growing of wheat,Agriculture
i sell parcel delivery business for export,53200,Courier activities,Transport
i sell juice shop on small scale,56303,Fruit juice bars,Hospitality
makinghandbag manufacturing unit,15121,Manufacture of travel goods and bags,Manufacturing
i am a we build mobile apps for export,62011,Writing computer programs,IT Services
providingtin box can making,25992,Manufacture of containers tins and cans,Manufacturing
we provide property dealer for local market,68200,Real estate activities on fee basis,Real Estate
we have a nariyal ki kheti on small scale,1261,Growing of coconut,Agriculture
jute products manufacturing,13942,Manufacture of cordage or rope of jute,Manufacturing
we are manufacturers of i raise chickens for meat,1461,Raising and breeding of poultry,Agriculture
we specialize in we do data entry for domestic use,63114,Providing data entry services,IT Services
sellingi grow rice paddy as msme,1121,Organic farming of basmati rice,Agriculture
servicemadhumakhi palan near me,1492,Bee-keeping and production of honey,Agriculture
sellingfruit juice manufacturing for local market,10304,Manufacture of fruit juices,Manufacturing
we are manufacturers of pulse milling unit as a home business,10613,Dal (pulses) milling,Manufacturing
our unit is involved in limestone mining,8107,Mining of limestone,Mining
our unit is involved in bread bakery unit since many years,10711,Manufacture of bread,Manufacturing
i am working in masala powder making near me,10795,Grinding and processing of spices,Manufacturing
we are manufacturers of prawn farming in pond in india,3221,Fish farming in freshwater,Agriculture
tradingbpo services,82200,Activities of call centres,IT Services
i run a we sell gold and silver jewellery as micro enterprise,47733,Retail sale of jewellery,Trade
business activity: electronics retail shop as a home business,47420,Retail sale of audio and video equipment,Trade
we do logo and design services as a home business,74103,Services of graphic designers,Professional
we have a electrician contractor for local market,43211,Installation of electrical wiring,Construction
we do ecommerce business near me,47912,Retail sale via e-commerce,Trade
my small business is goods transport by truck on small scale,49231,Motorised road freight transport,Transport
i am a cab service business on small scale,49224,Taxi operation,Transport
manufacturinginterior painting work as micro enterprise,43303,Interior and exterior painting,Construction
the company is engaged in cream lotion making business,20237,Manufacture of cosmetics and toileteries,Manufacturing
makingi grow onions and tomatoes,1132,Growing of fruit-bearing vegetables,Agriculture
i run a we repair cars and vehicles,45200,Maintenance and repair of motor vehicles,Trade
i do carpet making,13931,Manufacture of carpets of cotton,Manufacturing
i am doing leather goods manufacturing,15121,Manufacture of travel goods and bags,Manufacturing
i run a event management for local market,82300,Organization of conventions and trade shows,Services
Growingmedicine manufacturing allopathic,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
we deal in plumbing work contractor near me,43221,Installation of plumbing,Construction
repairingveterinary doctor,75000,Veterinary activities,Professional
we make jaggery gur on small scale,10722,Manufacture of gur from sugarcane,Manufacturing
Growingprawn farming in pond as a home business,3221,Fish farming in freshwater,Agriculture
our unit is involved in buffalo dairy farm unit,1412,Production of milk from cows or buffaloes,Agriculture
i do solar rooftop installation in india,35105,Electric power generation using solar energy,Energy
business activity: bus transport service on small scale,49221,Long distance bus services,Transport
i am doing flour mill unit,10611,Flour milling,Manufacturing
i do carpet weaving unit in india,13931,Manufacture of carpets of cotton,Manufacturing
we are into tablet and capsule manufacturing on small scale,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
tradingcollege education,85301,Higher education,Education
providingbanana farming in my village,1222,Growing of bananas,Agriculture
servicesea fishing on small scale,3111,Fishing in ocean and coastal waters,Agriculture
i am a fan manufacturing unit in my village,27503,Manufacture of electric fans,Manufacturing
we do we make homeopathy medicines on small scale,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
my work involves we make shampoo and hair products as a home business,20236,Manufacture of hair oil and shampoo,Manufacturing
we are into dairy product making ghee butter,10504,Manufacture of cream butter cheese ghee,Manufacturing
our business is pest control services business,81299,Other building and industrial cleaning,Services
i am a tiffin catering service,56291,Activities of food service contractors,Hospitality
i am a we make knives and blades,25931,Manufacture of cutlery,Manufacturing
we are into chutney and pickle manufacturing as msme,10306,Manufacture of pickles and chutney,Manufacturing
we deal in i grow onions and tomatoes at home,1132,Growing of fruit-bearing vegetables,Agriculture
rice processing plant for local market,10612,Rice milling,Manufacturing
basmati rice farming since many years,1121,Organic farming of basmati rice,Agriculture
repairingsports goods manufacturing for local market,32300,Manufacture of sports goods,Manufacturing
my work involves led lamp manufacturing since many years,27400,Manufacture of electric lighting equipment,Manufacturing
we have a plastic bag making at home,22203,Manufacture of plastic articles for packing,Manufacturing
we are into led lamp manufacturing since many years,27400,Manufacture of electric lighting equipment,Manufacturing
rice mill in india,10612,Rice milling,Manufacturing
i am a we bake and sell bread in india,10711,Manufacture of bread,Manufacturing
Growingdetergent manufacturing as msme,20233,Manufacture of detergent,Manufacturing
our unit is involved in we run a medical store for export,47721,Retail sale of pharmaceuticals,Trade
servicewe do truck transport near me,49231,Motorised road freight transport,Transport
my small business is matchbox making unit,20291,Manufacture of matches,Manufacturing
i own a we make noodles as micro enterprise,10740,Manufacture of macaroni and noodles,Manufacturing
servicecable tv operator,61103,Activities of cable operators,IT Services
we provide we make jam jelly and sauce,10305,Manufacture of sauces jams and jellies,Manufacturing
tradingparlour and spa in my village,96020,Hairdressing and other beauty treatment,Services
providingdiamond cutting and polishing in india,32112,Working of diamonds and precious stones,Manufacturing
manufacturingdairy farming in india,1412,Production of milk from cows or buffaloes,Agriculture
we deal in we make led lights and bulbs,27400,Manufacture of electric lighting equipment,Manufacturing
we deal in we have a flour grinding unit unit,10611,Flour milling,Manufacturing
we have a we make perfumes and fragrances for domestic use,20234,Manufacture of perfumes,Manufacturing
our business is rice mill for domestic use,10612,Rice milling,Manufacturing
servicewe make toothpaste and toothpowder as msme,20235,Manufacture of dental hygiene preparations,Manufacturing
tradinglock and key making unit,25934,Manufacture of padlocks and locks,Manufacturing
i am a music and arts academy in my village,85420,Cultural education,Education
we have a transport contractor for export,49231,Motorised road freight transport,Transport
sellingadvertising agency since many years,73100,Advertising,Professional
tradingsugar manufacturing,10721,Manufacture of sugar from sugarcane,Manufacturing
my work involves custom tailoring shop,14105,Custom tailoring,Manufacturing
makinggeneral store on small scale,47190,Other retail sale in non-specialized stores,Trade
tradingplywood board making at home,16211,Manufacture of plywood and veneer,Manufacturing
electric fan manufacturing as msme,27503,Manufacture of electric fans,Manufacturing
servicegst and tax services for export,69202,Tax consultancy,Finance
i am working in we run taxis,49224,Taxi operation,Transport
i do non basmati paddy farming in my village,1122,Organic farming of non-basmati rice,Agriculture
providingvegetable farming for export,1131,Growing of vegetables,Agriculture
tradingwe grow tomatoes and chillies,1132,Growing of fruit-bearing vegetables,Agriculture
we are into milk production from cows,1412,Production of milk from cows or buffaloes,Agriculture
we have a we repair mobile phones since many years,95120,Repair of communication equipment,Services
manufacturingrabi crop wheat production in india,1111,Growing of wheat,Agriculture
repairingwe do photography as msme,74201,Commercial photograph production,Professional
we are into marble quarrying,8101,Quarrying of marble,Mining
smartphone manufacturing unit in india,26305,Manufacture of pagers cellular phones,Manufacturing
business activity: paper box and packaging,17023,Manufacture of card board boxes,Manufacturing
servicesolar energy plant in my village,35105,Electric power generation using solar energy,Energy
repairingwe sell mobile phones business,47414,Retail sale of telecommunication equipment,Trade
i run a ganna cultivation since many years,1140,Growing of sugar cane,Agriculture
servicedriving school for domestic use,85223,Professional motor driving school,Education
sellingbasmati rice farming for export,1121,Organic farming of basmati rice,Agriculture
we are manufacturers of knife scissors making,25931,Manufacture of cutlery,Manufacturing
repairingcustom tailoring shop at home,14105,Custom tailoring,Manufacturing
we are into we sell online on amazon flipkart unit,47912,Retail sale via e-commerce,Trade
spinach and cabbage farming unit,1131,Growing of vegetables,Agriculture
sellingcream lotion making as micro enterprise,20237,Manufacture of cosmetics and toileteries,Manufacturing
we specialize in spinning mill cotton as msme,13111,Preparation and spinning of cotton fiber,Manufacturing
servicechocolate making in my village,10732,Manufacture of chocolate,Manufacturing
i run a internet service provider for domestic use,61104,Activities providing internet access,IT Services
we specialize in legal services,69100,Legal activities,Professional
sellingherbal medicine production in india,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
i am working in milk powder making,10502,Manufacture of milk powder,Manufacturing
makingwe manufacture locks for domestic use,25934,Manufacture of padlocks and locks,Manufacturing
servicewe do data entry,63114,Providing data entry services,IT Services
i am a tuition centre business,85491,Academic tutoring services,Education
i am working in truck transport business,49231,Motorised road freight transport,Transport
servicehoney production business business,1492,Bee-keeping and production of honey,Agriculture
providingprivate school unit,85211,General school education first stage,Education
business activity: chakki flour mill business for export,10611,Flour milling,Manufacturing
sellingdarji ka kaam,14105,Custom tailoring,Manufacturing
my small business is noodles and pasta manufacturing for local market,10740,Manufacture of macaroni and noodles,Manufacturing
we are manufacturers of travel agency as a home business,52291,Activities of travel agents,Transport
we run taxis in india,49224,Taxi operation,Transport
my work involves we sell gold and silver jewellery for export,47733,Retail sale of jewellery,Trade
repairingwe make allopathic medicines,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
tradingcopper wire making as a home business,24201,Manufacture of copper products,Manufacturing
serviceplacement agency hr since many years,78100,Activities of employment placement agencies,Services
security guard agency,80100,Private security activities,Services
tradingpepper and cardamom farming,1284,Growing of spices,Agriculture
homeopathy clinic,86903,Activities of homeopaths,Healthcare
we deal in call centre bpo,82200,Activities of call centres,IT Services
servicealoo cultivation in my village,1135,Growing of potatoes and tubers,Agriculture
Growingwe run a laundry business,96010,Washing and dry cleaning of textiles,Services
i am a internet service provider,61104,Activities providing internet access,IT Services
i do ceramic pottery unit at home,23931,Manufacture of articles of porcelain and pottery,Manufacturing
makingparcel delivery business as micro enterprise,53200,Courier activities,Transport
i am working in wedding photography at home,74201,Commercial photograph production,Professional
tradingsugar manufacturing for domestic use,10721,Manufacture of sugar from sugarcane,Manufacturing
Growingsugarcane crop production for export,1140,Growing of sugar cane,Agriculture
we specialize in sugar manufacturing since many years,10721,Manufacture of sugar from sugarcane,Manufacturing
providingwe make led lights and bulbs as msme,27400,Manufacture of electric lighting equipment,Manufacturing
repairinganda farm since many years,1462,Production of eggs,Agriculture
sellingincense stick manufacturing business,20238,Manufacture of agarbatti,Manufacturing
sellingmotor driving institute,85223,Professional motor driving school,Education
servicewe grow tomatoes and chillies as micro enterprise,1132,Growing of fruit-bearing vegetables,Agriculture
i sell agarbatti banane ka kaam on small scale,20238,Manufacture of agarbatti,Manufacturing
i am a we sell hardware and tools,47522,Retail sale of hardware,Trade
repairingembroidery work in india,13991,Embroidery work and making of laces,Manufacturing
our business is road and bridge construction as micro enterprise,42101,Construction of highways and roads,Construction
my work involves potato and sweet potato farming in my village,1135,Growing of potatoes and tubers,Agriculture
i sell adrak ki kheti for export,1281,Growing of ginger,Agriculture
we specialize in road construction,42101,Construction of highways and roads,Construction
we provide mixed masala production for domestic use,10795,Grinding and processing of spices,Manufacturing
my work involves alphonso mango farming since many years,1221,Growing of mangoes,Agriculture
my small business is flour mill,10611,Flour milling,Manufacturing
servicecotton cultivation in vidarbha,1161,Growing of cotton,Agriculture
we design clothes at home,74101,Fashion design,Professional
i am working in silk weaving for local market,13122,Weaving of silk fabrics,Manufacturing
servicemurgi palan,1461,Raising and breeding of poultry,Agriculture
we are into tour and travel agency since many years,52291,Activities of travel agents,Transport
our unit is involved in banana farming,1222,Growing of bananas,Agriculture
we specialize in photography studio for export,74201,Commercial photograph production,Professional
providingwe weave silk fabric,13122,Weaving of silk fabrics,Manufacturing
repairingtoy making for local market,32401,Manufacture of dolls and toy animals,Manufacturing
we specialize in chai ki tapri near me,56302,Tea and coffee shops,Hospitality
makingmasala powder making as a home business,10795,Grinding and processing of spices,Manufacturing
sellingroad freight transport as micro enterprise,49231,Motorised road freight transport,Transport
we do interior decoration in india,43303,Interior painting and decorating,Construction
sellingquick service food outlet as a home business,56102,Cafeterias and fast food restaurants,Hospitality
we have a mixed masala production business,10795,Grinding and processing of spices,Manufacturing
we have a we run a cyber cafe at home,63992,Activities of cyber cafe,IT Services
led bulb making near me,27400,Manufacture of electric lighting equipment,Manufacturing
repairingi raise chickens for meat near me,1461,Raising and breeding of poultry,Agriculture
business activity: clay pottery business as micro enterprise,23931,Manufacture of articles of porcelain and pottery,Manufacturing
providingwe install solar panels,35105,Electric power generation using solar energy,Energy
i do kirana store,47211,Retail sale of food products,Trade
we are into spice farming,1284,Growing of spices,Agriculture
repairingi grow mangoes,1221,Growing of mangoes,Agriculture
sellinggoods transport by truck at home,49231,Motorised road freight transport,Transport
i run a we make plastic sheets and boards for local market,22201,Manufacture of semi-finished plastic products,Manufacturing
tradingeent banane ka kaam,23921,Manufacture of bricks,Manufacturing
we specialize in plastic bag making,22203,Manufacture of plastic articles for packing,Manufacturing
makingwe produce eggs and sell near me,1462,Production of eggs,Agriculture
i sell dairy product making ghee butter near me,10504,Manufacture of cream butter cheese ghee,Manufacturing
i am doing civil construction work at home,41001,Construction of buildings,Construction
i sell plywood manufacturing,16211,Manufacture of plywood and veneer,Manufacturing
makingclothing shop for domestic use,47711,Retail sale of readymade garments,Trade
sellingwe build houses and flats,41001,Construction of buildings,Construction
we are manufacturers of i make agarbatti,20238,Manufacture of agarbatti,Manufacturing
we deal in we mill rice and sell for domestic use,10612,Rice milling,Manufacturing
makingbrick manufacturing at home,23921,Manufacture of bricks,Manufacturing
we deal in homeopathic medicine as a home business,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
i do paper box and packaging in india,17023,Manufacture of card board boxes,Manufacturing
we have a chutney and pickle manufacturing as msme,10306,Manufacture of pickles and chutney,Manufacturing
the company is engaged in ladies tailor near me,14105,Custom tailoring,Manufacturing
makingkela ki kheti at home,1222,Growing of bananas,Agriculture
we provide papad making unit for domestic use,10796,Manufacture of papads and appalam,Manufacturing
tradingmango orchard for local market,1221,Growing of mangoes,Agriculture
makingadvocate lawyer for domestic use,69100,Legal activities,Professional
servicewooden furniture unit at home,31001,Manufacture of furniture of wood,Manufacturing
our unit is involved in detergent powder production as micro enterprise,20233,Manufacture of detergent,Manufacturing
providinggas agency cylinder,35202,Distribution and sale of gaseous fuels,Energy
servicecotton yarn spinning at home,13111,Preparation and spinning of cotton fiber,Manufacturing
repairingwe make shampoo and hair products for domestic use,20236,Manufacture of hair oil and shampoo,Manufacturing
makingkiryana shop,47211,Retail sale of cereals and pulses,Trade
cotton yarn manufacturing as msme,13111,Preparation and spinning of cotton fiber,Manufacturing
tradingsolar rooftop installation as a home business,35105,Electric power generation using solar energy,Energy
plumber for export,43221,Installation of plumbing,Construction
we specialize in coaching institute in my village,85491,Academic tutoring services,Education
we deal in leather goods manufacturing,15121,Manufacture of travel goods and bags,Manufacturing
sellingdried fish business,10201,Sun-drying of fish,Manufacturing
i am a ghee manufacturing unit as a home business,10504,Manufacture of cream butter cheese ghee,Manufacturing
i own a pickle making,10306,Manufacture of pickles and chutney,Manufacturing
providingelectrical installation work at home,43211,Installation of electrical wiring,Construction
knife scissors making as micro enterprise,25931,Manufacture of cutlery,Manufacturing
sellingwe are a law firm for domestic use,69100,Legal activities,Professional
i own a we have a chicken farm unit,1461,Raising and breeding of poultry,Agriculture
providingdental clinic for local market,86202,Dental practice activities,Healthcare
repairingwe do advertising and marketing,73100,Advertising,Professional
manufacturingwe make knives and blades for local market,25931,Manufacture of cutlery,Manufacturing
we are manufacturers of cold drink production for export,11045,Manufacture of soft drinks,Manufacturing
i own a insurance agent,66220,Activities of insurance agents and brokers,Finance
i run a lodge and hotel business near me,55101,Hotels and motels providing lodging,Hospitality
business activity: software development as a home business,62011,Writing and modifying computer programs,IT Services
i am working in we do tax filing and GST at home,69202,Tax consultancy,Finance
we have a garment factory as a home business,14101,Manufacture of textile garments,Manufacturing
we are manufacturers of security guard agency since many years,80100,Private security activities,Services
providingmobile app development,62011,Writing computer programs,IT Services
manufacturingrubber tyre production as micro enterprise,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
my small business is cotton farming for domestic use,1161,Growing of cotton,Agriculture
we provide we make ice cream kulfi for local market,10505,Manufacture of ice cream,Manufacturing
i am working in plywood board making,16211,Manufacture of plywood and veneer,Manufacturing
we deal in we repair cars and vehicles,45200,Maintenance and repair of motor vehicles,Trade
tradingwe are a medical clinic,86201,Medical practice activities,Healthcare
makingcarpenter furniture shop as msme,31001,Manufacture of furniture of wood,Manufacturing
we run a medical store in my village,47721,Retail sale of pharmaceuticals,Trade
my small business is online retail business,47912,Retail sale via e-commerce,Trade
we are into electrician contractor on small scale,43211,Installation of electrical wiring,Construction
sellingvermicelli making unit for domestic use,10740,Manufacture of macaroni and noodles,Manufacturing
our unit is involved in hotel restaurant,55101,Hotels and motels providing lodging,Hospitality
servicedhobighat laundry business,96010,Washing and dry cleaning of textiles,Services
i am working in we grow sugarcane in india,1140,Growing of sugar cane,Agriculture
we make ayurvedic products in india,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
the company is engaged in photocopying shop as micro enterprise,82191,Photocopying and duplicating services,Services
i run a we have a flour grinding unit in my village,10611,Flour milling,Manufacturing
i am working in organic fertilizer making near me,20121,Manufacture of urea and organic fertilizers,Manufacturing
providingtea stall as msme,56302,Tea and coffee shops,Hospitality
we do utensil making brass copper near me,25994,Manufacture of metal household articles,Manufacturing
our business is chai packing unit for export,10791,Processing and blending of tea,Manufacturing
i am working in we build houses and flats near me,41001,Construction of buildings,Construction
sellingi raise chickens for meat near me,1461,Raising and breeding of poultry,Agriculture
the company is engaged in medicine manufacturing allopathic for local market,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
we are into jute farming business,1162,Growing of jute,Agriculture
coaching institute near me,85491,Academic tutoring services,Education
makingfuel station,47300,Retail sale of automotive fuel,Trade
hardware store in india,47522,Retail sale of hardware,Trade
business activity: cucumber and brinjal cultivation,1132,Growing of fruit-bearing vegetables,Agriculture
i run a we do electrical wiring unit,43211,Installation of electrical wiring,Construction
servicewe have mango trees and sell fruit unit,1221,Growing of mangoes,Agriculture
i do wheat crop production in india,1111,Growing of wheat,Agriculture
we manufacture cosmetics in my village,20237,Manufacture of cosmetics and toileteries,Manufacturing
repairingmasala manufacturing unit,10795,Grinding and processing of spices,Manufacturing
tradinghandmade soap business near me,20231,Manufacture of soap all forms,Manufacturing
recruitment agency for export,78100,Activities of employment placement agencies,Services
we specialize in we do stitching and tailoring,14105,Custom tailoring,Manufacturing
servicenon basmati paddy farming for domestic use,1122,Organic farming of non-basmati rice,Agriculture
we specialize in we give loans to people business,64920,Other credit granting,Finance
we are manufacturers of transport contractor,49231,Motorised road freight transport,Transport
we do soap making,20231,Manufacture of soap all forms,Manufacturing
mobile recharge and phone shop as a home business,47414,Retail sale of telecommunication equipment,Trade
providingleather goods manufacturing,15121,Manufacture of travel goods and bags,Manufacturing
Growingi make leather bags and purses business,15121,Manufacture of travel goods and bags,Manufacturing
we are manufacturers of onion cultivation and selling business,1133,Growing of onion,Agriculture
servicelpg gas agency as msme,35202,Distribution and sale of gaseous fuels,Energy
serviceonline selling ecommerce since many years,47912,Retail sale via e-commerce,Trade
we are into grocery shop since many years,47211,Retail sale of cereals and pulses,Trade
manufacturingbook stationery shop,47613,Retail sale of stationery,Trade
we do we grow onion for local market,1133,Growing of onion,Agriculture
sellingreadymade garments manufacturing near me,14101,Manufacture of textile garments,Manufacturing
i am a we sell gold and silver jewellery in india,47733,Retail sale of jewellery,Trade
providingtea stall,56302,Tea and coffee shops,Hospitality
we provide cold storage warehouse,52101,Warehousing of refrigerated goods,Transport
business activity: soft drink manufacturing in my village,11045,Manufacture of soft drinks,Manufacturing
we deal in coaching institute as msme,85491,Academic tutoring services,Education
providingzari work business,13992,Zari work and ornamental trimmings,Manufacturing
the company is engaged in gas agency cylinder business,35202,Distribution and sale of gaseous fuels,Energy
i am a bicycle manufacturing for domestic use,30921,Manufacture of bicycles,Manufacturing
we deal in sweet shop making mithai in my village,10734,Manufacture of sweetmeats,Manufacturing
website development in my village,62012,Web page designing,IT Services
repairingcourier and logistics for domestic use,53200,Courier activities,Transport
sellingcold drink production for local market,11045,Manufacture of soft drinks,Manufacturing
my small business is clay pottery business for domestic use,23931,Manufacture of articles of porcelain and pottery,Manufacturing
tradingwe run a gas distributor business,35202,Distribution and sale of gaseous fuels,Energy
we are manufacturers of natural organic soap making unit,20231,Manufacture of soap all forms,Manufacturing
Growingtransport contractor in india,49231,Motorised road freight transport,Transport
repairingwe run a hospital for local market,86100,Hospital activities,Healthcare
sellingmotor driving institute unit,85223,Professional motor driving school,Education
i am doing we do fish farming in our pond,3221,Fish farming in freshwater,Agriculture
i do share broker firm business,66120,Security and commodity contracts brokerage,Finance
we build mobile apps at home,62011,Writing computer programs,IT Services
tradingwe give loans to people unit,64920,Other credit granting,Finance
onion farming in nashik in my village,1133,Growing of onion,Agriculture
makingwe sell milk from our farm on small scale,1412,Production of milk from cows or buffaloes,Agriculture
our business is chai packing unit on small scale,10791,Processing and blending of tea,Manufacturing
my work involves khilona banane ka kaam unit,32401,Manufacture of dolls and toy animals,Manufacturing
road and bridge construction for export,42101,Construction of highways and roads,Construction
doctor medical practice for local market,86201,Medical practice activities,Healthcare
we deal in we deliver parcels on small scale,53200,Courier activities,Transport
i own a we build mobile apps business,62011,Writing computer programs,IT Services
Growinglayer poultry farm at home,1461,Raising and breeding of poultry,Agriculture
repairinglodge and hotel business since many years,55101,Hotels and motels providing lodging,Hospitality
real estate agent broker for domestic use,68200,Real estate activities on fee basis,Real Estate
i sell led lamp manufacturing as msme,27400,Manufacture of electric lighting equipment,Manufacturing
makingprawn farming in pond as msme,3221,Fish farming in freshwater,Agriculture
i sell we make fashion jewellery in my village,32120,Manufacture of imitation jewellery,Manufacturing
we are into we provide tiffin to offices business,56291,Activities of food service contractors,Hospitality
i own a zameen jaidaad ka kaam as msme,68200,Real estate activities on fee basis,Real Estate
i am working in chit fund,64910,Financial leasing,Finance
servicegrocery shop as micro enterprise,47211,Retail sale of cereals and pulses,Trade
i do matchstick manufacturing,20291,Manufacture of matches,Manufacturing
we deal in knitting hosiery unit at home,13913,Manufacture of knitted synthetic fabrics,Manufacturing
my small business is rice processing plant as a home business,10612,Rice milling,Manufacturing
sellingwe make handmade carpets at home,13931,Manufacture of carpets of cotton,Manufacturing
we specialize in glass bangle making,23106,Manufacture of glass bangles,Manufacturing
servicecandle making at home,20238,Manufacture of agarbatti and similar products,Manufacturing
i am working in dental clinic at home,86202,Dental practice activities,Healthcare
my small business is we run bus service in india,49221,Long distance bus services,Transport
makingzari work business,13992,Zari work and ornamental trimmings,Manufacturing
we are into sabzi mandi stall for export,47212,Retail sale of fresh fruit and vegetables,Trade
providingwe run a pathology lab for export,86905,Activities of diagnostic laboratories,Healthcare
providingcotton fabric weaving unit as msme,13121,Weaving of cotton fabrics,Manufacturing
tradingbuffalo dairy farm as micro enterprise,1412,Production of milk from cows or buffaloes,Agriculture
Growinggoat farming for export,1441,Raising and breeding of sheep and goats,Agriculture
medical device manufacturing unit,32504,Manufacture of medical instruments,Manufacturing
servicefruit juice centre in my village,56303,Fruit juice bars,Hospitality
my small business is sabun banane ka kaam on small scale,20231,Manufacture of soap all forms,Manufacturing
repairingwe run taxis near me,49224,Taxi operation,Transport
we do artificial jewellery manufacturing as micro enterprise,32120,Manufacture of imitation jewellery,Manufacturing
manufacturingwe run an ayurvedic centre,86901,Activities of Ayurveda practitioners,Healthcare
business activity: aam bagicha on small scale,1221,Growing of mangoes,Agriculture
repairingdata entry operator,63114,Providing data entry services,IT Services
i run a organic rice cultivation business,1121,Organic farming of basmati rice,Agriculture
ice cream manufacturing as msme,10505,Manufacture of ice cream,Manufacturing
we are manufacturers of incense stick manufacturing for domestic use,20238,Manufacture of agarbatti,Manufacturing
sellingpapad making unit in my village,10796,Manufacture of papads and appalam,Manufacturing
achar making unit as msme,10306,Manufacture of pickles and chutney,Manufacturing
servicewe provide cleaning staff since many years,81210,General cleaning of buildings,Services
toothpaste manufacturing at home,20235,Manufacture of dental hygiene preparations,Manufacturing
it consulting for export,62020,Computer consultancy,IT Services
serviceauto parts manufacturing at home,29301,Manufacture of motor vehicle parts,Manufacturing
sellingweb design as a home business,62012,Web page designing,IT Services
tradingcable tv operator business,61103,Activities of cable operators,IT Services
our unit is involved in fast food centre,56102,Cafeterias and fast food restaurants,Hospitality
my work involves we manage events as msme,82300,Organization of conventions and trade shows,Services
we deal in switch socket manufacturing for export,27331,Manufacture of switch and socket,Manufacturing
our business is basmati rice farming as a home business,1121,Organic farming of basmati rice,Agriculture
repairingdoctor clinic near me,86201,Medical practice activities,Healthcare
sellingwe grind flour as a home business,10611,Flour milling,Manufacturing
repairingwe grow tea,1271,Growing of tea,Agriculture
we are into ganna cultivation business,1140,Growing of sugar cane,Agriculture
manufacturingknife scissors making,25931,Manufacture of cutlery,Manufacturing
tradingsecurity guard agency as msme,80100,Private security activities,Services
my work involves medical bandage manufacturing since many years,21006,Manufacture of medical wadding gauze bandages,Manufacturing
makingdoctor clinic for local market,86201,Medical practice activities,Healthcare
